Molecule	Protein	UniProt	Gene	C1	C2	C3	C4	C5	C8	C9	C11	C14	C15	C16	C17	C18	C19	C20	C21	C24	C25	C26	C27	P1	P2	P4	P6	P9	P11	P13	P17	P18	P19	P20	P21	P24	P25	P27	P28	P29	P30	P31	P32
10034-16	Fc_MOUSE	Q99LC4		3866	3038.8	6805.6	3462.5	5858.9	3281.3	3327.7	3489.1	3287.6	2476.4	3432.1	2018.3	3458.1	3091.5	1911.2	4827.5	2586.9	2054.6	3279.4	1844.1	1838.6	2612.8	5439.1	2793.2	2654.8	3592.3	3532.6	3001.5	3185.7	3418.5	3284.6	2101.9	2997.2	4121.5	3157	4022.3	3434.4	2939.6	3980.5	3917
10035-6	DUS4	Q13115	DUSP4	1773.1	727.7	1411.4	776.4	10131.1	641.2	822.6	824.2	650	608.1	917.4	459.9	624.3	697.3	459.3	1239.1	501.1	550.9	666.1	450.2	514	550.1	931.7	541.1	601.6	695.6	790.6	641.1	603.8	664.6	502.1	605.8	1695.2	847.6	805	778.3	651.6	612.6	740.8	694.9
10036-201	ZHX3	Q9H4I2	ZHX3	4718.5	4259.7	6405.3	4493.3	5362	4056.8	3811.2	3547.6	3616.2	3143.4	6616.6	2419	3064.3	3891.6	3022.5	9682.9	2721.9	2613.6	3611.4	2412.7	3618.1	3450.8	4788.5	3528.4	3522.6	4433.8	5382.4	3922.3	4107.9	3589.8	3099.7	3191.9	3896.4	4904.7	3458.8	4331.1	3561	3879.9	3847.2	3808.5
10037-98	SIG12	Q96PQ1	SIGLEC12	313.1	204.2	357.2	230.3	264.2	194.9	489.9	228	192.2	235.6	297.2	243.6	270.2	209.9	180.6	426.8	160.3	155.5	189.6	141.2	200.3	177.4	315.4	161.2	228.3	201.9	362.9	418.8	166.2	179.5	160.6	254.5	166.4	405.3	169.8	255.1	299.8	183	303.8	323.3
10040-63	P73L	Q9H3D4	TP63	552.1	812.7	561.3	351.3	466	451.2	368.3	406.3	325.8	348.5	472.6	345.3	502.9	366.2	299.6	543.2	293.3	466.2	416.1	258.9	308.3	1018.4	335.1	407.2	338.7	404.2	467.4	419.2	280.7	183619.1	319.3	320.5	305.2	458.6	282.6	408.7	341.9	341.4	420.4	371.8
10041-3	HNF4A	P41235	HNF4A	43234.4	32684.3	40719.6	39121.6	52482.1	28746.9	34223.8	33526.5	35352.3	31489.1	32789.7	22124.7	30114.2	26475.1	32467.9	37153.7	26895.6	29840.8	34382.3	24269.5	48823.8	37470.9	40629.2	40401.4	34704.2	41485.1	42907.6	33152.7	33206.8	34509.5	33224.2	27263.5	31544.6	45734.7	34251.4	33449.6	34518.3	49832.4	37171.5	27453.6
10042-8	SGK3	Q96BR1	SGK3	898.9	987.3	1751.3	971	1335.6	945	837.4	1107.5	807.3	791.7	1399.3	713	817.7	1033.6	647.2	1792	729.2	821.4	1093.6	602	708.5	833.5	977.6	800.5	809.2	2887.7	1232.9	959.1	765.9	835.8	795.7	725.3	815.4	1101.2	736	1088.5	765.9	839.3	1003.2	945.7
10043-31	BRD4	O60885	BRD4	556.2	593.9	1190.5	564.8	714.1	587	458.1	765.7	522.3	495.6	837.5	410.7	528.5	595.1	389.4	984.8	407	438.5	594.7	381.9	424.3	461	672.2	425.7	592.2	610.8	745.8	647.2	636.4	502.6	444.3	453.4	477	765.3	485.8	725.2	466.3	517.6	706.3	566.2
10044-12	WN10A	Q9GZT5	WNT10A	1177.4	1372.6	2950.3	1093.9	1821.8	987.5	1606.5	2033.8	1356.3	1234.5	1972.1	624.4	1131.9	1463.9	968.2	3495.4	964.8	483.7	1070.2	804.5	600.8	837.3	2611.3	751.6	859.9	1050.1	1249.9	979.4	884.8	1203	750.1	1006.7	1119.1	1634.1	1347.8	1269.3	2021.8	1508.3	1664.1	1496.4
10045-47	CUL3	Q13618	CUL3	1022.3	963	1762.3	936	1100	1312.6	1000.4	1007.6	1022.5	1094.9	1826.4	795.5	883.1	962.5	661.7	1783.3	883.1	786.5	1085.9	713.7	750.7	810.7	966.8	654	689.9	1134.5	1632.2	1341.5	714.8	894.2	688.4	767.8	865.7	1051.7	949.8	1376.7	776.7	927.4	1257.3	970.6
10046-55	cIAP-1	Q13490	BIRC2	1189.9	1167.3	2142.7	1115.8	2059.3	1172.1	1050.1	1453.5	1147	1095	1831.1	995	1075.5	1687.7	716.4	2183	1139.1	1262.3	1598.2	834.7	919.8	948	1252.7	870.7	1009.3	1723.3	1552.6	1703.7	1101.3	1033	914.6	873.5	1128.5	1614.1	896.2	1498.7	885	1040.1	1562.1	1065.8
10047-12	NCF-2	P19878	NCF2	610.7	529.5	698.3	542.2	432.7	518.6	400.4	604.1	429.1	434.3	562.4	341.5	474.7	521.9	430.9	841	354.4	340.3	488.5	366.3	404.7	419.6	523.3	391.9	364.6	469.9	652.4	519.9	435.2	450	514.1	431.8	443.6	501.1	423.2	445.9	433.9	467.3	416.1	509.2
10048-7	PEBB	Q13951	CBFB	1931.4	1686.8	2865.7	1920.6	2076.1	1529.8	2151.7	1926.6	1734.6	1572.4	2169.8	1291.8	1506	1788.1	1219.3	3331.9	1227	1393.5	1757.4	1213.9	1235.7	1458.2	2054.4	1321.7	1284.6	1593.1	2042.8	1728.9	1717.6	1633.9	1580.2	1325.7	1799.4	1879.9	1596.2	1914.9	1508.7	1660.6	2014	2011.5
10049-112	TERF1	P54274	TERF1	561.6	583.7	1093.2	561.2	596	572.5	1189.1	627.5	489.8	492.9	743.7	439.6	564.5	546.2	398.1	905.8	443.1	481	524.5	429.1	448.5	493.8	1235	460	492.3	588.5	730.6	524.3	439.2	542.4	462.7	493.9	454.9	693.7	445.9	653.4	478.6	484.7	597	578.4
10053-5	ILK1	Q13418	ILK	4618.4	6477.7	6037.3	9924.1	6762.9	9596.4	6810.3	14070.7	14040.7	16797.7	18678.9	17589.3	8142.7	10287.5	4757.8	14935.3	19452.8	16231.6	24270.9	12106.3	8884.1	6365	3025.6	2846.7	7506.2	12242.8	11289.3	28095.5	7732.3	9861.9	11820	4245.9	10812.6	10982.5	2347.3	12330.3	3257.1	11529.2	17728	6033.5
10054-3	GAN	Q9H2C0	GAN	354.5	375.7	605.7	352.6	448.1	470.3	306.4	410.4	372.8	2152.6	588.2	250.7	301.6	333.4	296.7	972.9	267.1	248.5	336	267.2	257.8	310.7	555.7	322.4	341.9	333	479.1	344.7	273.5	335.2	361.2	357.4	316.6	402	7772.3	379.3	349.5	314	385.7	365.2
10056-5	FOXM1	Q08050	FOXM1	1859.5	1579.1	2134.1	1704.2	1622.4	1719.9	1286.8	1481.3	2300.4	2249.8	2949.6	1957.2	1829.8	1713.8	899.5	2298.4	2490.1	2498.6	2775.9	1289.5	1155.9	1299.2	1038.9	921.8	1086.5	2018.5	3545.8	3816.5	1380.6	1875.1	1785.7	1012.8	2008.9	1949.1	1405	2463.2	1103.8	1694.5	3097.6	1504.1
10058-1	RD23A	P54725	RAD23A	23914.5	18476.1	26151.5	20089.9	23756.7	31870.1	18982.6	18366.4	24560.7	19518.6	40007.8	16557.6	15285.6	16371	12426.7	31963.6	18388.1	14991.4	28597.9	11755	15710.1	16249.9	19054.1	11821.8	13310.8	31234.7	34523.2	37966	18025.6	21898.7	16907.5	14540.5	17468.6	18443.6	23555.5	32393.9	14002.6	18574.6	32007	21592
10063-10	FANCL	Q9NW38	FANCL	589.8	575.7	1245	541.8	705.5	538.7	505.3	748	531.7	461.4	869.5	408.4	479.4	602.5	384.4	2911	416	388.8	623.1	359.1	415.9	472.4	767.5	442.5	504.2	550.2	709.1	535.7	460.4	487.4	414	460.4	462.5	799.3	848	677.3	538.9	495.4	656.3	587.3
10064-12	RBBP9	O75884	RBBP9	1800.1	1739.4	2393	1795.9	22503.7	1872.9	1622.4	1666.3	1592.5	1612.6	2477.4	1261.8	1457.1	1666.4	1728.9	3602.2	1384.9	1472.3	1696.9	1202.9	1677.9	1633.6	1707.9	1583.1	1487.2	1886.7	2193.4	1802.2	1575.1	1752.9	1596.4	1436.9	1622.7	2056.9	1283.7	1895.6	1420.6	1661.6	1841.3	1753.8
10070-22	PLCG2	P16885	PLCG2	1005.5	890.6	1319.9	1042.6	938.8	1093.6	689.8	1106	2150.6	996.6	2460.8	1054.2	896.5	967.4	684.3	1699.8	966.5	1122.9	1527	884	805.1	777.7	640.9	591.7	691.8	1092.6	2005.1	2069.2	939.5	1098.6	1009.8	654.2	1074.7	1368.7	625.6	1232.1	654.5	983.5	1381.1	932.6
10073-22	TYDP1	Q9NUW8	TDP1	699.4	730.5	1103.2	647	791.7	688.2	588.7	761.2	610.6	619.9	1075.7	520.4	661.6	675.5	454.7	994.1	624.7	541	667.3	490.9	548.7	702	660.6	511.1	1091	713.6	949.6	773.3	508.7	581.9	643.4	594.1	583.7	809.4	505.7	905.4	554.4	609	759.5	671.4
10074-128	BRD2	P25440	BRD2	904.9	1138.7	2005	826.9	1509.4	898.3	827.2	1115.1	767.9	692.7	1361.6	590.3	695.9	983.7	625.3	1935.5	600.1	658.9	831.9	518.7	631.6	711	1066.4	654.4	791.1	1013.5	1219.4	1639.1	760.8	1882	680.4	658.8	2359.7	1068.9	722.6	1108	787.2	759.9	993.8	886.4
10075-75	ACBD6	Q9BR61	ACBD6	253.6	205.1	372.7	274.1	239.1	307.4	224.4	386.2	344.5	433.7	920.6	421	258.7	203.1	164.5	404.6	490	402.4	827.3	207.4	255.2	545.7	168.7	146.1	292.6	425.4	463	980.1	277.1	260.3	450.2	168.1	249.9	414.9	155.5	525.8	143.2	315.1	533.8	286.8
10076-1	AP4M1	O00189	AP4M1	1187.9	1196	2902.1	1077	1450.7	1231.9	959	1504	1085.4	1128.7	2272.1	926.6	948.2	1406.3	883.1	2385.7	949.3	915.2	1246.8	749.7	904.9	929.6	1489.7	876.3	1122.5	1339.5	1843.2	1395	926.6	1038.2	945.8	824.3	1072.3	1576.2	1575.4	1454.9	959.7	1011.5	1364.9	1199
10078-5	BAG3	O95817	BAG3	759.8	751.4	1314.5	812.7	1660.5	650	663.3	863.7	700.7	623.3	923.7	476.5	706.3	791.5	504.8	1374.5	610.1	611.8	681.9	527.9	518.4	616.1	1024.3	573.3	583.9	701	890.5	657.2	657.6	698.7	530.4	568.3	647.7	842	721	837.5	722.1	702.6	824.5	752.8
10080-9	EI2BA	Q14232	EIF2B1	1799.2	1263.1	1575.8	1569.7	1580.8	2260.5	960.1	2061.7	2667.1	1600.8	3896	2121.5	1837.9	1633.4	765.3	2877.1	1609.4	1538.2	2490.9	1229.9	1181.8	1037.3	726.8	937.7	1105	2047.8	3086.5	4383.4	1987.1	1603.3	1696	850.9	1815.4	2008.3	1091.4	2652.1	815.3	1652.9	2716	1405.1
10081-17	SATB2	Q9UPW6	SATB2	728	746.7	1576.4	700.9	1028.2	555.6	678.3	991.3	669.6	578.9	848.7	380.9	595.2	754.6	408.6	1303.1	438.6	391.6	678.1	476.4	408.9	569.3	1303	483.9	493.3	714.9	699.5	521.4	642.7	661.5	411.6	433.3	627.6	872.3	759.1	777.1	792.6	745.2	852.4	811.4
10082-251	NFL	P07196	NEFL	1212.3	1159.3	1393.1	825.4	1089.9	1089.8	956.6	831.5	743.1	1455.9	2812.3	775.7	790.2	1688.4	1005.6	4840.8	509.5	478	1391.1	1159.5	992.9	1090.2	735.3	768.6	828.9	898.8	2472.8	1780.7	1795.1	855.9	1112.1	1101.5	1252.9	1422.4	946.8	1491.7	863.2	1208.5	1328.9	905.7
10085-25	STAR	P49675	STAR	2071.3	1804.2	2206.3	2013.8	1800.3	1823.6	1846.8	2080.9	1643	1547.8	2592.7	1354.5	1547.3	1864.1	1403	3813.8	1380.6	1431.2	1938.4	1108.7	1963	1663.1	1834.9	1771.8	1631.5	2017.9	2436.4	2015.7	1929.1	1620.6	2856.8	1458.1	1594.6	2271.8	1237.8	2328.7	1397.7	1875.8	2151.5	1734.5
10086-39	CBS	P35520	CBS	1980	1958	3341.4	1857.5	2106.3	2241.3	2423.1	2973.7	2132.6	1885.7	3077.4	1617.8	1828	2166.6	1529.7	3821.4	2472.9	1747.9	2434.9	2164.1	1613.7	2020.4	2739.5	2091.4	1889.7	2193	2744.6	2366.4	1791.7	2103	2551	1889.1	1710.9	2340.5	1399.3	2304	2330.9	1967.3	2164.1	1971.5
10087-10	Alpha crystallin A chain	P02489	CRYAA	449.6	458.2	874.1	421.8	521.7	471.3	396	542.7	390.5	366.7	645.8	335.4	394.6	455.4	331.7	706.7	343.7	390.8	471.8	305.5	371.3	521.4	460.5	415.3	766.8	613.8	606.5	403.3	339	385.8	397.8	400	359.4	632.3	337.9	533.4	362	396.4	469.8	434.2
10088-37	APT	P07741	APRT	2797.9	2248	4571.1	2956	2967.6	7261	2945.4	6837.1	5723.7	5222.2	10626.2	5779	2954.4	4056.2	1482.4	3666.5	6297.6	5365.6	11555.1	3078.2	2937.3	2699.1	1604.9	1291	3093.2	5757.5	4850.5	11177.6	3540.1	3654.5	3654.3	1728.9	3342.7	4787.9	1601.2	8111.4	1237.6	3621.6	7380.1	2634.1
10089-7	ASML	O95671	ASMTL	461	493	4912.9	509.6	648.1	549.6	609.2	706.7	552.3	579.7	1083.2	539.8	579.7	828.5	400	1461.4	561.2	597.1	1061.6	409.3	427	466.5	476.8	390.6	474.8	695.6	728.1	575.2	452.5	527.3	702.2	429.7	2857.6	602.8	355.7	841.5	398.7	472.8	863.1	553.2
10336-3	CHIP	Q9UNE7	STUB1	563.8	765.2	877	646.8	705.6	704.5	578.7	5156.3	892.9	936.9	1274.3	709.7	852.7	1028.6	486.1	1198.3	903.6	885.7	1086.8	975.8	509.8	686	772.7	735.7	685.5	874.3	811.8	1598.1	721.3	793.4	641.6	610.4	661.8	983.1	563.1	1160.5	10276.5	842	1279.1	660.1
10339-48	NSE	P09104	ENO2	10424.4	9755.7	10189.9	10494.7	11126	14719.4	9687.9	9597.7	9954.6	8909.6	23051.3	10295.7	11626.9	13097	8735.1	18663.3	9309.8	8082.2	9925.9	7658.8	10199.9	11201	10848.1	9691.5	9244.3	13540.6	20207.5	11637.6	12315.3	13630.3	9274.5	7858.5	10498.5	11303.5	9761.5	13678.3	10757.1	10446.7	13718.8	13167.2
10342-55	PIAS4	Q8N2W9	PIAS4	452.2	568.1	963.3	488.1	591.1	382	486.2	650.8	581.6	442.2	586.9	272.2	444.3	573	300.9	1024.9	299.8	246.6	398.6	324.1	255	412.9	777.2	322.3	303.2	441.5	509.4	393.3	354.9	419.5	278.3	356.8	528.2	569.6	459	503.9	550.4	511.6	588.3	539.3
10344-334	IL-10 Ra	Q13651	IL10RA	5435.4	5145.4	10455.5	5708.7	9620.5	4236	5326.9	5268.2	4556.5	3504.5	5380.2	2648.9	3974.3	4376.7	3097.5	7084.6	3479	3077.7	5284.3	2758.7	3472.9	3573.8	9331.7	3594.3	3724.1	5478.6	4358.7	3839.4	5881.5	4252.9	4001.9	2929.5	4101.7	6215.1	5689.3	6326.5	4231.8	4014.8	5665.1	5276.6
10346-5	STAT3	P40763	STAT3	9242.4	8145.5	9762.9	10503.4	7978.9	11908.7	6415.8	10293.3	14269.2	16994.5	27411.4	17948	12381.5	12687.5	5727.7	17268.6	19990.3	16941.1	26358.8	9195.4	9726.7	8439.3	5286.4	5520.6	6721.5	15695.1	20241.2	27725.4	10846.6	12503	12595.2	6712.7	13974.7	15071.9	6082.1	15050.5	6916.6	11997.3	18665.2	9843.1
10356-21	c-Jun	P05412	JUN	2617.4	2332.6	4703.5	2554.6	3253.1	1952	2613.7	2973.7	2164.9	1697.1	3516.5	1330.6	1596.9	2285.8	1349.7	5813.7	1478.2	1285.5	2269.3	1116.8	1291.5	1565.7	3885.7	1483.3	1708.6	8665.6	2307.2	2594	2033.5	2092.1	1387.8	1201	1630.7	2623	2234.4	2644.2	2306.2	2439.8	2396.2	2413.9
10361-25	OAS1	P00973	OAS1	434.4	487	938.3	436.5	447.4	510	502.5	632	424.5	375.5	725.2	372.2	394.5	468.8	414	930.2	407.6	340.3	561.7	298.7	472.5	409.6	467.3	377.3	457.6	575.2	632.6	440.6	368.7	396.2	385.4	383.2	4699.5	553.3	314.5	543.4	406.6	420.3	518.8	456.1
10362-35	c-Myc	P01106	MYC	514.7	549	1382.4	423.9	579.5	593.2	434.9	843.2	479	923.3	891.5	986.9	402.4	510.4	358.9	1038.9	378.3	557.2	540.3	295.8	401.3	441.7	563.8	348.2	549.6	611.9	819.1	458.8	367.8	451.4	346.7	382.3	444.8	813.4	338	2295.7	418.3	384.9	734.2	513.4
10363-13	SMAD3	P84022	SMAD3	6167.6	6072.7	9056.2	6099.3	5786.4	6499.5	7165.1	8948.5	9479.3	9240.4	15851.6	7176.9	6735.8	8266.4	3923.4	18649.9	8962.9	8470.6	11968.2	5283.2	4986	4515.2	5500.4	3510.4	4824.9	7860.5	11439.4	13623.8	5179.1	6903.8	5938.3	3759.5	6873.5	8224.5	4375.9	9285.3	5764.4	7099.7	10426.3	6323.8
10364-6	SMAD2	Q15796	SMAD2	3539.9	3260.6	4759	3835.4	3358.8	3985.4	2772.8	4586.1	5357.5	5756.5	9883.6	4763.3	3792.3	4608	2028.2	7221.3	5961.9	5758.5	8747.8	3101.7	3131.5	2454.3	2389.7	1922.1	2687.9	4801.8	6662.7	9970.2	3342.5	3819.3	3029.5	2074	4170.8	5908.3	2523.4	5873	2170.7	3889.5	6783.8	3362.9
10365-132	IL-23	"P29460, Q9NPF7"	IL12B IL23A	1066.3	856.5	1082	979.6	1042.1	906.8	1090.9	1213.1	769	890.5	1135.9	867.8	910	816.2	739.1	1561	942.4	1059.6	976.8	899.4	852.1	782.8	1281.9	1304.9	861.5	1357	939.9	1360.3	1096.9	991.8	765.5	800.2	1040.2	1444.2	726	1035	1066.6	1020.3	1010	787.8
10366-11	PDGFRA	P16234	PDGFRA	1380.1	1487	2438.3	1431.6	1721.5	1536.4	1391.1	1989.8	1465.2	1696	2114.2	1323	1475.6	1695.4	1190.6	2630.9	1426.7	1103.9	1529.5	1208.7	1274.5	1522.4	2030	1324.6	1385.4	1433.3	1941.8	1455	5151.8	1709.3	1756	1509.2	93777.2	1608.7	1764	1891.4	1784.8	2006.5	2087.6	1672.7
10367-62	IL-12	"P29459,  P29460"	IL12A IL12B	240.3	242.9	514.7	225.7	376.5	363.8	231.5	304.9	213.5	224.5	358.1	659.8	256.4	220	176.5	433.4	213.5	606	238.7	158.2	197.3	225.2	248	197.9	260	283.4	336.1	251.3	191.1	228.6	173.2	190.6	216.3	405.9	168.8	311.7	226.5	202.3	268.5	230.3
10370-21	STAT1	P42224	STAT1	760.8	829.3	1131.6	920.5	874.2	1024.7	594.1	1199.6	1241.5	1394.8	2530	1382	975.7	1086.9	506.3	1736.9	1763.6	1426.2	2426.3	800.1	815.8	684.9	561.5	642.4	681.9	1303.7	1853.1	2516.6	992.5	1190.2	1304	638	1311.6	1293	461.6	1435.7	548.7	950.2	1750.2	792.8
10372-18	STAT6	P42226	STAT6	4880.1	4315.2	6992.8	5087.3	4437.5	5660.9	2827.2	4063	5277.5	5952.7	10496.2	6168.4	4615.5	4849.6	3419.5	7270.2	6510.3	6298.2	8553.9	3833.6	4043.9	3935.2	3722.3	3217	2822.1	5186.8	8290.1	9095	4381	5586	5089.9	3840.4	5487	5150.2	4137.2	5300.2	3472.5	4612.8	7293	4468.9
10390-21	ZNRF3	Q9ULT6	ZNRF3	634.8	635.9	937.5	600.4	595.8	543.9	453.8	559.5	530.1	540.2	908.7	492	713.3	514.1	371.9	805.6	574.8	536.2	741.8	423.6	565.5	563.3	478.7	478.1	3294	629.2	795.6	787.3	535.5	603	448.7	405.1	511.1	569.7	534.8	665.1	409.2	519.7	797.6	481.2
10391-1	ANGL3	Q9Y5C1	ANGPTL3	1583.4	1112.9	1395.5	1352.2	813.9	1077.2	1464.3	1242.8	933.3	1505.7	1023.8	1159.1	945.4	1467.4	1487.9	726.5	470.5	846.7	1058.3	1126.4	2251.1	1212.4	1229.4	1417	1619.4	1946.8	1538.7	1746.9	1336.4	1080.1	919.8	902	899.4	1299.9	1247.6	1725	905	1693.2	1419.5	1226
10396-6	Mcl-1	Q07820	MCL1	239.3	216.9	288.5	233	214	592.2	175.3	202.6	195.4	742.1	251.8	172.8	267.5	240.3	230.7	286.2	194.4	232.3	214.4	154.6	189.8	211.9	192.4	212.6	186.1	249.1	326.1	272.2	218.4	213.3	256.4	189.1	205.1	252.8	166.7	263.9	179	178.9	246.4	223.2
10416-79	Fc_MOUSE	Q99LC4		1553	1633.2	3734.6	1636.6	2523.7	1380.9	1678.5	2012.8	1438.4	1191.8	1957.6	836.4	1308.7	1576	1477.1	3027.8	1020.4	912.5	1538.2	878.5	909.9	1080.2	2719.6	996.7	1158.1	1387	1688.4	1183.3	1505.6	1291	999.6	1457.9	1285	2090.4	1576.8	1917.7	1455.3	2230.7	1880.8	1754.7
10418-36	STX12	Q86Y82	STX12	2870.4	2579.7	4531.7	3305.8	2272.9	2360	1826.4	2454.3	2308.8	2439.4	7429.9	2027.2	2160	2628.6	2945.8	16649.1	1774.2	1639.5	2617.3	1577.5	1903.1	1703.5	2402.3	1739.4	1527	2350.7	3151.8	3182.9	2159.8	2273.6	3898.7	1717.8	2396.7	2348.6	2129.4	2358.9	2091.9	2113.6	2700.4	2681.9
10419-1	SCAR5	Q6ZMJ2	SCARA5	4636.1	6334.8	6517.5	5979.9	7452.6	6217	5551.4	8468.4	6271.4	5644.5	5002.9	4647.5	11484.6	7508.6	4962.4	6781.2	4691.3	4417	5451.5	5029.2	4387	5879.4	6567	6506.8	3989.1	5616.6	6621.3	5668.5	7769.1	5834.3	3752	7014.6	5408.3	4190.6	4750.5	9381.5	4898.4	8499.6	9111	5708.2
10424-31	NPDC1	Q9NQX5	NPDC1	663.3	613	998.5	625.4	739.6	576.2	620.2	682.6	571.7	497	825	453.6	771	1184.6	432	1303.6	495.8	440.8	705.3	434.6	483.1	654.8	764.8	564.4	581.9	759.7	801.8	569.6	507.9	661.9	456.9	509.1	596.9	722	577.6	693.9	574.1	644	692.4	633.9
